                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3398,                 4.0364,                 2.0297,                0.00057,                0.00541,                0.00029,                0.00012,                 2.7214,                 4.0418,                 1.6506,                 0.0856,                 0.0016,                 0.0016
                      1,                 2.6188,                 3.1911,                 1.4964,                0.05086,                 0.0737,                 0.0451,                0.01656,                  2.801,                 3.3165,                 1.6709,               0.070267,              0.0032673,              0.0032673
                      2,                 2.4541,                 1.9057,                 1.4168,                0.76038,                0.12903,                0.09025,                0.03427,                 2.4955,                 2.6655,                 1.4743,               0.054901,               0.004901,               0.004901
                      3,                 2.3878,                 1.6316,                 1.3958,                0.77393,                0.15307,                0.10749,                0.03832,                 2.6642,                 2.7756,                 1.5581,               0.039501,               0.006501,               0.006501
                      4,                 2.3734,                 1.6431,                 1.3961,                0.80836,                 0.1306,                0.11578,                0.04358,                 2.7677,                  2.676,                 1.6652,               0.024067,              0.0080674,              0.0080674
                      5,                 2.4002,                 1.5916,                 1.3747,                0.81085,                0.14063,                0.12504,                0.04336,                  2.461,                  2.654,                 1.5103,               0.009505,               0.009505,               0.009505
                      6,                 2.3534,                 1.5141,                 1.3629,                0.81029,                 0.1345,                 0.1212,                0.04575,                 2.4248,                 2.6203,                 1.5139,               0.009505,               0.009505,               0.009505
                      7,                 2.3931,                 1.5119,                   1.34,                0.82291,                0.13005,                0.12954,                0.04753,                 2.3251,                 2.4408,                 1.4252,               0.009406,               0.009406,               0.009406
                      8,                   2.27,                 1.5149,                 1.3233,                0.82844,                0.13385,                 0.1352,                0.05699,                 2.1138,                 2.3199,                 1.3376,               0.009307,               0.009307,               0.009307
                      9,                 2.2251,                 1.4706,                 1.2944,                0.48588,                0.15117,                0.15316,                0.05372,                 2.3885,                 2.5106,                 1.3879,               0.009208,               0.009208,               0.009208
                     10,                 2.1819,                 1.5125,                 1.2978,                0.48331,                0.12439,                0.12624,                0.04749,                  2.234,                 2.6197,                 1.3262,               0.009109,               0.009109,               0.009109
                     11,                  2.228,                 1.4263,                 1.2612,                0.84961,                0.16829,                0.17849,                0.07286,                 2.2007,                 2.3221,                  1.306,                0.00901,                0.00901,                0.00901
                     12,                 2.2118,                 1.4147,                 1.2595,                0.84718,                0.15288,                0.16568,                 0.0629,                 2.2137,                 2.0984,                 1.3571,               0.008911,               0.008911,               0.008911
                     13,                  2.155,                 1.3743,                 1.2341,                0.16211,                0.22301,                 0.1981,                0.08737,                 2.0712,                  2.186,                 1.3324,               0.008812,               0.008812,               0.008812
                     14,                  2.137,                 1.4103,                 1.2288,                0.52336,                0.16532,                0.17441,                0.07407,                 1.9429,                 2.2941,                 1.2344,               0.008713,               0.008713,               0.008713
                     15,                 2.1711,                 1.3898,                 1.2455,                0.53079,                0.16681,                0.20637,                0.08277,                 2.1212,                   2.68,                 1.2877,               0.008614,               0.008614,               0.008614
                     16,                 2.1359,                 1.3477,                 1.2268,                0.59118,                0.20418,                0.20034,                0.07742,                 2.1023,                 2.1053,                 1.2999,               0.008515,               0.008515,               0.008515
                     17,                 2.1264,                 1.3133,                 1.2104,                0.20976,                0.23997,                0.22671,                0.08465,                 2.1853,                 2.2273,                 1.3271,               0.008416,               0.008416,               0.008416
                     18,                 2.0875,                    1.3,                  1.223,                0.62717,                0.25606,                0.23741,                0.09974,                 2.0005,                 1.8268,                 1.2978,               0.008317,               0.008317,               0.008317
                     19,                 2.0713,                 1.2558,                 1.1997,                0.64263,                0.24584,                0.24579,                0.09946,                 2.1009,                 1.9399,                 1.3511,               0.008218,               0.008218,               0.008218
                     20,                 2.0881,                 1.2729,                 1.2095,                0.62637,                0.22727,                0.22441,                0.09178,                 2.0806,                 2.0329,                 1.3297,               0.008119,               0.008119,               0.008119
                     21,                 2.0599,                 1.3011,                 1.2135,                0.67044,                0.25376,                 0.2584,                0.11313,                 2.1128,                 2.0213,                 1.3624,                0.00802,                0.00802,                0.00802
                     22,                 2.0141,                 1.2408,                 1.1973,                0.65419,                 0.2968,                0.26546,                0.11492,                 1.9555,                 1.7399,                 1.2794,               0.007921,               0.007921,               0.007921
                     23,                  2.056,                 1.2412,                 1.1796,                0.65157,                0.27695,                0.25858,                0.10311,                 2.0871,                 1.7741,                 1.2772,               0.007822,               0.007822,               0.007822
                     24,                 1.9737,                 1.2536,                 1.1971,                0.71968,                0.26649,                0.27485,                0.12476,                 1.8813,                 1.7118,                 1.2322,               0.007723,               0.007723,               0.007723
                     25,                 1.9624,                 1.2135,                 1.1902,                 0.6742,                 0.3035,                0.28823,                0.12319,                 1.9849,                 1.9508,                 1.2654,               0.007624,               0.007624,               0.007624
                     26,                 1.9612,                 1.2081,                  1.188,                0.66981,                0.30014,                0.28104,                0.11336,                 2.0138,                 1.9357,                 1.2583,               0.007525,               0.007525,               0.007525
                     27,                 2.0095,                 1.2096,                 1.1832,                0.72765,                0.27482,                0.28024,                0.12162,                 1.9334,                 1.8562,                 1.2367,               0.007426,               0.007426,               0.007426
                     28,                 1.9621,                 1.1973,                 1.1547,                0.68808,                0.28192,                0.27334,                0.12142,                 2.1555,                  2.374,                 1.2904,               0.007327,               0.007327,               0.007327
                     29,                 1.9757,                 1.2022,                 1.1809,                0.71212,                 0.2846,                0.29419,                0.12215,                 2.0067,                 1.9264,                 1.2508,               0.007228,               0.007228,               0.007228
