                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7009,                 2.5214,                 3.2706,                0.06534,                0.16814,                0.04284,                0.01364,                 3.0846,                 2.7843,                 3.1793,               0.070136,              0.0033182,              0.0033182
                      1,                 2.7607,                 2.0358,                 2.5922,                0.25986,                0.23348,                0.26635,                0.10859,                  2.314,                 2.0116,                   2.42,               0.040071,              0.0065857,              0.0065857
                      2,                 2.2938,                 1.7503,                 2.1999,                0.43568,                0.42387,                0.39316,                0.17474,                 1.9991,                 1.6949,                  2.126,              0.0099387,              0.0097871,              0.0097871
                      3,                 2.1117,                 1.5978,                 2.0344,                0.50781,                 0.4559,                0.44696,                 0.1974,                 1.9125,                 1.5855,                  2.024,               0.009703,               0.009703,               0.009703
                      4,                 1.9933,                 1.4887,                 1.9136,                0.56624,                0.52742,                0.53389,                0.25605,                 1.7772,                 1.4274,                 1.9113,               0.009703,               0.009703,               0.009703
                      5,                 1.9022,                 1.4199,                 1.8588,                0.58075,                0.56099,                0.57014,                0.28003,                 1.7032,                 1.3587,                  1.848,               0.009604,               0.009604,               0.009604
                      6,                 1.8664,                 1.3766,                 1.8238,                0.59776,                0.56939,                0.59716,                0.29826,                 1.7023,                 1.3048,                 1.8324,               0.009505,               0.009505,               0.009505
                      7,                 1.8246,                 1.3193,                 1.7803,                0.62352,                0.58014,                0.61004,                 0.3044,                 1.6898,                 1.2888,                 1.8182,               0.009406,               0.009406,               0.009406
                      8,                 1.7794,                 1.2913,                 1.7543,                0.62572,                0.58128,                0.62396,                0.32099,                 1.6712,                 1.2446,                 1.8077,               0.009307,               0.009307,               0.009307
                      9,                 1.7621,                 1.2573,                 1.7321,                0.56089,                0.58981,                0.57044,                0.29316,                 1.6475,                 1.3313,                 1.7764,               0.009208,               0.009208,               0.009208
