                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5514,                 1.0906,                 1.5653,                0.72582,                0.72213,                0.76903,                0.44228,                 1.4739,                 1.0266,                 1.6107,               0.006733,               0.006733,               0.006733
                     35,                 1.5491,                 1.0792,                 1.5581,                0.73067,                0.71643,                0.77224,                0.44911,                 1.4507,                 1.0074,                  1.596,               0.006634,               0.006634,               0.006634
                     36,                 1.5382,                 1.0689,                  1.548,                0.73094,                0.72017,                 0.7709,                 0.4462,                 1.4542,                 1.0148,                  1.601,               0.006535,               0.006535,               0.006535
                     37,                 1.5421,                 1.0714,                 1.5507,                0.73399,                0.71566,                0.76962,                0.44544,                 1.4581,                 1.0152,                 1.6026,               0.006436,               0.006436,               0.006436
                     38,                 1.5301,                 1.0669,                 1.5526,                0.73727,                0.72663,                0.78101,                0.45448,                 1.4472,                0.99103,                 1.5918,               0.006337,               0.006337,               0.006337
                     39,                  1.535,                 1.0657,                 1.5486,                0.74099,                0.72592,                0.78186,                0.45741,                  1.433,                0.98573,                 1.5788,               0.006238,               0.006238,               0.006238
                     40,                 1.5294,                 1.0554,                 1.5425,                0.73598,                0.71783,                0.77554,                0.44871,                 1.4544,                 1.0237,                 1.5918,               0.006139,               0.006139,               0.006139
                     41,                 1.5346,                 1.0551,                 1.5318,                0.73677,                0.72266,                0.77727,                0.45423,                 1.4378,                0.99053,                 1.5865,                0.00604,                0.00604,                0.00604
                     42,                 1.5187,                 1.0438,                 1.5253,                 0.7453,                0.71967,                0.78679,                0.46076,                 1.4301,                0.98033,                 1.5752,               0.005941,               0.005941,               0.005941
                     43,                 1.5225,                 1.0438,                 1.5377,                0.73502,                0.72302,                0.77684,                0.45159,                 1.4427,                 1.0087,                 1.5851,               0.005842,               0.005842,               0.005842
                     44,                 1.5217,                 1.0445,                 1.5415,                0.73609,                0.72233,                0.77307,                0.45264,                 1.4374,                 1.0016,                 1.5811,               0.005743,               0.005743,               0.005743
                     45,                 1.5186,                 1.0358,                 1.5326,                0.74159,                0.72627,                0.78285,                0.45984,                 1.4316,                0.97868,                 1.5768,               0.005644,               0.005644,               0.005644
                     46,                 1.5175,                 1.0351,                 1.5319,                0.75194,                0.73153,                0.79134,                0.46363,                 1.4316,                0.97992,                 1.5761,               0.005545,               0.005545,               0.005545
                     47,                 1.5134,                 1.0255,                  1.528,                0.74658,                0.72599,                0.78639,                0.46216,                 1.4243,                0.98051,                   1.57,               0.005446,               0.005446,               0.005446
                     48,                 1.5062,                 1.0313,                 1.5254,                 0.7497,                0.73022,                0.78954,                0.46705,                 1.4168,                0.95485,                 1.5648,               0.005347,               0.005347,               0.005347
                     49,                 1.5012,                 1.0177,                 1.5248,                0.74292,                0.72626,                0.77946,                0.45917,                 1.4269,                0.97773,                 1.5734,               0.005248,               0.005248,               0.005248
                     50,                 1.5042,                 1.0237,                 1.5224,                0.74404,                0.73888,                0.79178,                0.46494,                 1.4326,                0.96056,                 1.5765,               0.005149,               0.005149,               0.005149
                     51,                 1.4985,                 1.0138,                  1.516,                0.74502,                0.72924,                0.78512,                0.46339,                 1.4255,                0.96675,                  1.569,                0.00505,                0.00505,                0.00505
                     52,                 1.5045,                 1.0171,                 1.5182,                0.74481,                0.72376,                0.77986,                0.45914,                 1.4236,                0.97589,                 1.5667,               0.004951,               0.004951,               0.004951
                     53,                 1.5003,                 1.0145,                 1.5173,                0.74474,                0.72977,                0.78454,                0.46309,                 1.4205,                0.97383,                 1.5612,               0.004852,               0.004852,               0.004852
                     54,                 1.4924,                 1.0075,                 1.5092,                0.74843,                0.73138,                0.79234,                0.46667,                 1.4267,                0.96234,                 1.5649,               0.004753,               0.004753,               0.004753
                     55,                 1.5064,                 1.0214,                 1.5268,                0.75455,                0.73647,                0.79713,                0.47079,                 1.4197,                0.94765,                   1.56,               0.004654,               0.004654,               0.004654
                     56,                 1.4866,                 1.0014,                 1.5143,                0.74352,                0.73122,                0.78644,                0.46402,                  1.423,                0.96024,                 1.5645,               0.004555,               0.004555,               0.004555
                     57,                 1.4905,                 1.0058,                 1.5142,                0.75754,                0.73704,                0.79934,                0.47439,                 1.4076,                0.94609,                 1.5544,               0.004456,               0.004456,               0.004456
                     58,                 1.4906,                0.99778,                 1.5039,                0.75503,                0.73254,                0.79099,                0.46756,                 1.4172,                0.95284,                 1.5575,               0.004357,               0.004357,               0.004357
                     59,                 1.4901,                0.99595,                  1.507,                0.75103,                0.73783,                0.79299,                0.46855,                 1.4193,                0.95524,                 1.5575,               0.004258,               0.004258,               0.004258
                     60,                 1.4943,                 0.9985,                 1.5086,                0.75524,                0.73413,                 0.7923,                0.46885,                 1.4159,                0.94808,                 1.5571,               0.004159,               0.004159,               0.004159
                     61,                 1.4886,                0.99819,                 1.5035,                0.75731,                0.74401,                0.80028,                0.47521,                 1.4075,                0.93861,                  1.553,                0.00406,                0.00406,                0.00406
                     62,                 1.4872,                0.99477,                 1.5064,                 0.7535,                0.73854,                0.79727,                 0.4705,                 1.4214,                 0.9446,                 1.5589,               0.003961,               0.003961,               0.003961
                     63,                 1.4821,                0.97624,                 1.4945,                 0.7556,                0.73589,                 0.7957,                 0.4716,                 1.4131,                0.93459,                 1.5552,               0.003862,               0.003862,               0.003862
                     64,                 1.4776,                0.98451,                 1.5037,                 0.7438,                0.74033,                0.79098,                0.46812,                 1.4217,                0.95454,                 1.5591,               0.003763,               0.003763,               0.003763
                     65,                 1.4777,                0.98072,                  1.503,                0.75284,                0.73494,                0.79218,                0.47081,                 1.4135,                0.95189,                 1.5541,               0.003664,               0.003664,               0.003664
                     66,                 1.4818,                0.98541,                 1.5015,                 0.7536,                0.74408,                0.79954,                0.47528,                 1.4084,                 0.9356,                 1.5518,               0.003565,               0.003565,               0.003565
                     67,                 1.4715,                0.97416,                 1.4957,                0.75892,                0.73941,                0.79866,                0.47449,                 1.4097,                0.93168,                 1.5501,               0.003466,               0.003466,               0.003466
                     68,                 1.4748,                0.98331,                 1.5039,                0.75303,                0.74297,                 0.7983,                0.47406,                 1.4102,                0.93647,                 1.5487,               0.003367,               0.003367,               0.003367
                     69,                 1.4787,                0.97176,                 1.4915,                0.76489,                0.74504,                0.80665,                0.47912,                  1.409,                 0.9234,                 1.5503,               0.003268,               0.003268,               0.003268
                     70,                 1.4793,                0.97443,                 1.4908,                0.76117,                0.74451,                0.80274,                0.47836,                  1.403,                0.92904,                 1.5461,               0.003169,               0.003169,               0.003169
                     71,                  1.465,                0.96299,                 1.4849,                0.75604,                0.74468,                 0.7995,                0.47535,                 1.4097,                 0.9348,                 1.5495,                0.00307,                0.00307,                0.00307
                     72,                 1.4719,                0.97191,                 1.4911,                 0.7553,                0.74147,                0.79845,                0.47504,                 1.4077,                0.93607,                  1.547,               0.002971,               0.002971,               0.002971
                     73,                 1.4592,                0.95375,                 1.4804,                0.76166,                0.74227,                0.80282,                 0.4784,                 1.4017,                0.92592,                  1.544,               0.002872,               0.002872,               0.002872
